PR_Number,PR_Item,PR_Creation_Date,Plant,Purchase_Group,Material_Group,PR_Release_Date,PR_Requisitioner_Name,PR_Total_Value,Delivery_Date,PR_Approver
100009088,20,10-03-2025,VSP,P60-VSP,3030201,11-03-2025,User564,13258.07,01-04-2025,Approver20
100014560,60,01-04-2025,VSP,P60-VSP,4040303,04-04-2025,User739,628436.84,26-05-2025,Approver18
100014329,20,15-02-2025,KLN,P20-KLN,4040302,22-02-2025,User484,304839.29,31-03-2025,Approver5
100010455,30,10-01-2025,ANG,P30-ANG,3030205,12-01-2025,User890,6343.25,22-02-2025,Approver13
100009821,30,18-06-2025,KLN,P20-KLN,3030203,21-06-2025,User485,10101.66,26-07-2025,Approver3
100011366,10,25-12-2024,DOL,P50-DOL,3030209,26-12-2024,User196,123711.38,07-02-2025,Approver20
100006625,60,26-10-2025,ANG,P01-CENTRAL,1010004,29-10-2025,User641,1277908.88,18-12-2025,Approver15
100010939,20,19-08-2025,JSR,P10-JSR,3030207,29-08-2025,User665,46003.2,03-10-2025,Approver4
100010735,10,29-11-2025,BPS,P40-BPS,3030206,08-12-2025,User584,31303.98,26-12-2025,Approver14
100010774,20,24-07-2025,ANG,P30-ANG,3030206,02-08-2025,User994,16844.26,04-09-2025,Approver5
100007514,70,04-02-2025,DOL,P02-CENTRAL,1010010,07-02-2025,User553,505148.02,07-03-2025,Approver19
100009423,80,13-07-2025,KLN,P20-KLN,3030202,17-07-2025,User365,21163.59,31-08-2025,Approver15
100011412,40,15-07-2025,ANG,P30-ANG,3030209,20-07-2025,User967,224574.07,13-08-2025,Approver13
100012952,60,29-12-2024,ANG,P30-ANG,3030213,02-01-2025,User507,542.53,31-01-2025,Approver12
100014363,10,07-10-2025,ANG,P30-ANG,4040302,09-10-2025,User785,94847.19,19-10-2025,Approver8
100009602,70,11-10-2025,DOL,P50-DOL,3030203,13-10-2025,User330,12275.22,27-10-2025,Approver2
100011314,10,13-12-2024,KLN,P20-KLN,3030208,22-12-2024,User658,37996.93,04-02-2025,Approver20
