Vendor_Number,Vendor_Name,Status,Created_Date,Vendor_Type,Country,City,State,PAN,GSTIN,MSME,Payment_Terms,Classification_Tier,Parent_Vendor
V0035,TVS Logistics,Active,14-04-2024,Service Provider,IN,Mumbai,MH,MWAFQ3013B,18MWAFQ3013B5Z8,Micro,NET 60,Preferred,
V0048,Local Vendor Cluster C,Active,14-05-2017,Service Provider,IN,Jamshedpur,JH,XAUVE1999G,32XAUVE1999G3Z5,No,NET 60,Preferred,
V0008,Air Liquide India,Active,18-11-2017,Service Provider,IN,Kanpur,UP,OYBTW7494Z,31OYBTW7494Z7Z0,No,EOM30,Approved,V0027
V0019,Timken India Ltd,Active,26-08-2016,Service Provider,IN,Visakhapatnam,AP,BGVEK2419G,32BGVEK2419G5Z6,No,NET 45,Transactional,
V0043,Sodexo India,Active,15-08-2014,Affiliate,IN,Surat,GJ,DKJQD8747B,15DKJQD8747B9Z9,No,AT SIGHT,Approved,
V0055,Sterlite Power,Active,15-03-2023,Government,IN,Udaipur,RJ,QJDJB4239Y,21QJDJB4239Y3Z5,No,AT SIGHT,Preferred,
V0017,Union Electric Akers,Blocked,11-01-2015,Trader,IN,Kanpur,UP,WCPYH5921G,26WCPYH5921G4Z4,No,ADVANCE,Approved,
V0044,G4S Security,Active,04-06-2021,Government,IN,Angul,OR,BNMWS1224J,31BNMWS1224J1Z2,No,EOM30,Approved,
V0034,BlueDart Logistics,Active,25-11-2017,Service Provider,IN,New Delhi,DL,IIHZA8040C,17IIHZA8040C9Z4,Micro,NET 60,Approved,
V0027,Siemens India Ltd,Active,09-03-2022,Affiliate,IN,Nagpur,MH,VCZBB9712M,11VCZBB9712M3Z8,No,NET 60,Preferred,
V0040,Emerson Process,Active,24-12-2020,Affiliate,IN,Chennai,TN,PADWV8978Y,25PADWV8978Y9Z5,Medium,EOM30,Preferred,
V0006,JSPL Sourcing,Active,02-03-2023,Manufacturer,IN,New Delhi,DL,HOUKA9235N,16HOUKA9235N2Z5,No,ADVANCE,Approved,
V0009,RHI Magnesita India,Active,26-03-2017,Manufacturer,IN,Visakhapatnam,AP,TECDT5781O,36TECDT5781O4Z1,No,EOM30,Approved,
V0029,Larsen and Toubro,Active,16-07-2017,Manufacturer,IN,Ranchi,JH,LSZAI8264A,25LSZAI8264A7Z6,Medium,AT SIGHT,Approved,
V0002,NMDC Limited,Active,12-03-2022,Service Provider,IN,Pune,MH,STSXP9487H,34STSXP9487H1Z0,No,NET 60,Approved,
V0007,Linde India Ltd,Active,02-06-2016,Trader,IN,Kolkata,WB,RFJDP4071D,18RFJDP4071D4Z6,No,NET 45,Approved,V0043
V0033,Mahindra Logistics,Active,11-08-2017,Service Provider,IN,Angul,OR,WPDYJ7218X,25WPDYJ7218X8Z0,No,EOM30,Approved,
V0045,SIS Security Services,Active,10-10-2020,Trader,IN,Mangalore,KA,RJNPH1000R,13RJNPH1000R9Z2,No,NET 30,Strategic,
V0013,HEG Limited,Active,05-04-2018,Service Provider,IN,Jamshedpur,JH,OOEWI7871C,14OOEWI7871C2Z6,Medium,NET 60,Approved,
V0018,SKF India Ltd,Active,13-01-2022,Trader,IN,New Delhi,DL,EEZEO2095P,36EEZEO2095P8Z6,No,AT SIGHT,Preferred,
V0011,Calderys India Refractories,Active,22-03-2024,Trader,IN,New Delhi,DL,FNOST1494U,35FNOST1494U4Z7,No,EOM30,Preferred,
V0030,BHEL Engineering,Active,05-03-2015,Government,IN,Pune,MH,FTXBU9596K,23FTXBU9596K6Z4,No,AT SIGHT,Approved,
V0046,Local Vendor Cluster A,Active,31-01-2019,Service Provider,IN,New Delhi,DL,HCHNG8608U,35HCHNG8608U3Z1,Medium,ADVANCE,Strategic,
V0012,IFGL Refractories Ltd,Blocked,26-06-2019,Manufacturer,IN,Chennai,TN,OSIOR9408O,25OSIOR9408O6Z1,No,ADVANCE,Preferred,
V0051,MOIL Limited,Active,10-12-2021,Affiliate,IN,New Delhi,DL,FXAFL2854K,34FXAFL2854K6Z5,No,NET 45,Approved,
V0021,Schaeffler India,Active,08-06-2016,Trader,IN,New Delhi,DL,TUWHD3207L,27TUWHD3207L3Z9,No,NET 90,Transactional,
V0042,ISS Facility Services,Active,06-03-2023,Affiliate,IN,Mangalore,KA,DRWIX3153S,17DRWIX3153S9Z9,Small,EOM30,Strategic,
V0041,Manpower Services India,Active,28-11-2016,Manufacturer,IN,Jamshedpur,JH,VRSWP8560U,17VRSWP8560U1Z3,No,NET 90,Approved,
V0049,Local Vendor Cluster D,Active,28-09-2016,Service Provider,IN,Coimbatore,TN,LBRLW1218J,22LBRLW1218J6Z0,No,NET 45,Transactional,
V0023,Castrol India Ltd,Active,20-10-2019,Service Provider,IN,Vijayawada,AP,OAMVO9000U,13OAMVO9000U2Z3,No,ADVANCE,Preferred,
V0028,Crompton Greaves,Active,04-09-2017,Affiliate,IN,Ahmedabad,GJ,KURRR1097N,13KURRR1097N6Z8,No,AT SIGHT,Approved,
V0005,Adani Enterprises,Active,09-11-2017,Trader,IN,Bhubaneswar,OR,DVXYW2742B,11DVXYW2742B4Z3,No,NET 45,Preferred,
V0050,Local Vendor Cluster E,Active,15-11-2023,Service Provider,IN,Bhubaneswar,OR,DRSRI6455L,12DRSRI6455L4Z1,No,AT SIGHT,Strategic,
V0025,Gulf Oil Lubricants,Active,22-08-2015,Service Provider,IN,Hyderabad,TG,TIJAD5714P,11TIJAD5714P1Z5,Micro,NET 60,Approved,
V0047,Local Vendor Cluster B,Active,03-11-2021,Service Provider,IN,Hyderabad,TG,KZFGZ4246K,19KZFGZ4246K6Z8,No,ADVANCE,Transactional,
V0039,Yokogawa India,Active,01-05-2018,Manufacturer,IN,Udaipur,RJ,IPZNO3754H,24IPZNO3754H1Z8,No,NET 30,Preferred,
V0054,Vedanta Aluminium,Active,09-10-2023,Trader,IN,Ahmedabad,GJ,PBXMN9334K,20PBXMN9334K6Z9,No,ADVANCE,Approved,
V0052,Ferro Alloys Corp India,Active,06-12-2019,Service Provider,IN,Jaipur,RJ,UKPMA1669V,15UKPMA1669V6Z4,No,NET 30,Preferred,
V0024,Indian Oil Corporation,Active,19-10-2017,Trader,IN,Visakhapatnam,AP,TVKAO9146I,22TVKAO9146I7Z1,No,ADVANCE,Preferred,V0031
V0003,Coal India Limited,Blocked,21-03-2019,Trader,IN,Ahmedabad,GJ,HSCYW3404R,21HSCYW3404R8Z5,No,AT SIGHT,Transactional,
V0037,3M India Industrial,Blocked,06-02-2022,Government,IN,Bhubaneswar,OR,NFGCR3163G,20NFGCR3163G4Z7,Small,NET 45,Preferred,V0022
V0001,Tata Steel Mining Ltd,Active,27-05-2015,Trader,IN,Udaipur,RJ,KGJVA3850O,36KGJVA3850O7Z1,No,EOM30,Approved,
V0010,Vesuvius India Ltd,Active,20-12-2019,Trader,IN,Jamshedpur,JH,UWDPJ5199Y,36UWDPJ5199Y7Z7,No,AT SIGHT,Approved,
V0022,Shell India Lubricants,Active,11-12-2016,Manufacturer,IN,Hyderabad,TG,ARGSP6658E,13ARGSP6658E2Z2,No,NET 30,Approved,V0006
V0032,Bosch India,Active,01-10-2022,Government,IN,Bhubaneswar,OR,FCCVR8202E,25FCCVR8202E1Z3,No,ADVANCE,Preferred,
V0016,Sheffield Forgemasters,Active,05-07-2016,Service Provider,IN,Noida,UP,XONES1152H,31XONES1152H4Z0,No,NET 45,Approved,
