Material_Number,Material_Description,Material_Group,Material_Group_Desc,Material_Type,Base_UoM,Created_Date,Created_By,Plant,Industry_Sector,Deletion_Flag,HSN_SAC_Code,Classification,Standard_Price
M5377157,BEARING MECHANICAL SPARE SKF — Var 2,3030201,BEARING MECHANICAL SPARE SKF,ERSA,EA,11-02-2020,USER007,VSP,M,,92861528,C,337413.95
M1453658,ANNUAL MAINTENANCE CONTRACT CRANE — Var 4,4040303,ANNUAL MAINTENANCE CONTRACT CRANE,DIEN,ACT,18-04-2024,USER007,,M,,89956263,C,163440.34
M2415794,HOUSEKEEPING SERVICES MONTHLY — Var 12,4040302,HOUSEKEEPING SERVICES MONTHLY,HALB,KG,05-05-2022,USER005,JSR,M,,76094185,B,105875.07
M6673751,GREASE INDUSTRIAL EP2 — Var 2,3030205,GREASE INDUSTRIAL EP2,HALB,KG,25-08-2019,USER005,KLN,M,,98369380,C,262903.31
M9467754,HYDRAULIC HOSE INDUSTRIAL — Var 2,3030203,HYDRAULIC HOSE INDUSTRIAL,HALB,KG,14-10-2020,USER003,,M,,95839611,B,276064.15
M9611394,CONVEYOR BELT INDUSTRIAL — Var 4,3030209,CONVEYOR BELT INDUSTRIAL,HALB,KG,14-11-2019,USER003,VSP,M,,82219329,A,144519.0
M8609042,IRON ORE FINES OPEN MARKET — Var 12,1010004,IRON ORE FINES OPEN MARKET,ROH,TON,16-04-2022,USER004,,M,,78597641,B,44700.56
M2295788,INDUCTION MOTOR 30KW SPARE — Var 2,3030207,INDUCTION MOTOR 30KW SPARE,ERSA,EA,16-02-2019,USER001,KLN,M,,86106661,C,365378.22
M4511142,LUBRICATION OIL TURBINE — Var 4,3030206,LUBRICATION OIL TURBINE,HALB,KG,24-11-2023,USER003,,M,,87047680,C,445927.45
M3150116,LUBRICATION OIL TURBINE — Var 12,3030206,LUBRICATION OIL TURBINE,HALB,KG,16-04-2021,USER008,DOL,M,,82666280,A,117266.72
M2387391,FERRO MANGANESE Mn78 — Var 11,1010010,FERRO MANGANESE Mn78,HALB,KG,30-01-2020,USER009,DOL,M,,99332551,C,101572.21
M8564772,BEARING MECHANICAL SPARE TIMKEN — Var 2,3030202,BEARING MECHANICAL SPARE TIMKEN,ERSA,EA,08-11-2023,USER005,BPS,M,,92381863,B,464165.03
M4667401,CONVEYOR BELT INDUSTRIAL — Var 2,3030209,CONVEYOR BELT INDUSTRIAL,HALB,KG,28-11-2020,USER001,JSR,M,,95663163,B,86031.49
M5216194,STATIONERY OFFICE SUPPLIES — Var 7,3030213,STATIONERY OFFICE SUPPLIES,HALB,KG,12-08-2020,USER004,,M,,80344191,B,203559.98
M9546850,HOUSEKEEPING SERVICES MONTHLY — Var 3,4040302,HOUSEKEEPING SERVICES MONTHLY,HALB,KG,22-08-2022,USER003,DOL,M,,87024417,C,379644.59
M8710575,HYDRAULIC HOSE INDUSTRIAL — Var 1,3030203,HYDRAULIC HOSE INDUSTRIAL,HALB,KG,01-04-2023,USER010,ANG,M,,88547003,C,401954.7
M1510125,VALVE PNEUMATIC ACTUATOR — Var 9,3030208,VALVE PNEUMATIC ACTUATOR,ERSA,EA,09-01-2022,USER005,ANG,M,,92215526,C,139328.51
M4848428,COKING COAL IMPORTED AUS PREMIUM — Var 10,1010002,COKING COAL IMPORTED AUS PREMIUM,ROH,TON,13-08-2021,USER012,,M,,77019262,C,410566.42
M9791351,DOLOMITE LUMPS — Var 2,1010006,DOLOMITE LUMPS,HALB,KG,22-01-2020,USER012,BPS,M,,87871782,B,112325.01
M2808140,QUARTZITE BLAST FURNACE — Var 4,1010007,QUARTZITE BLAST FURNACE,HALB,KG,17-02-2020,USER007,,M,,74012637,A,412953.68
M3294322,SECURITY CONTRACT PLANT — Var 8,4040308,SECURITY CONTRACT PLANT,DIEN,ACT,30-05-2019,USER012,VSP,M,,92837591,C,117918.47
M1994756,NITROGEN GAS LIQUID — Var 1,1010015,NITROGEN GAS LIQUID,HALB,KG,04-11-2021,USER003,,M,,97977021,C,47582.03
M8135140,TONER CARTRIDGE LASER — Var 1,3030214,TONER CARTRIDGE LASER,HALB,KG,17-06-2022,USER012,,M,,93071886,C,149676.82
M8239017,SUBMERGED ENTRY NOZZLE — Var 1,2020105,SUBMERGED ENTRY NOZZLE,HALB,KG,29-08-2020,USER009,VSP,M,,98552472,C,213697.96
M9023548,LIMESTONE LUMPS BLAST FURNACE — Var 2,1010005,LIMESTONE LUMPS BLAST FURNACE,HALB,KG,05-09-2022,USER002,,M,,89467120,B,202995.03
M4265640,IRON ORE FINES OPEN MARKET — Var 7,1010004,IRON ORE FINES OPEN MARKET,ROH,TON,17-04-2019,USER007,DOL,M,,85087002,A,398138.85
M6615913,SCRAP HEAVY MELT — Var 4,1010009,SCRAP HEAVY MELT,HALB,KG,09-07-2020,USER008,KLN,M,,75986391,C,119382.11
M1785968,HYDRAULIC HOSE INDUSTRIAL — Var 5,3030203,HYDRAULIC HOSE INDUSTRIAL,HALB,KG,01-02-2019,USER010,,M,,99712728,A,402450.41
M5773229,HYDRAULIC HOSE INDUSTRIAL — Var 4,3030203,HYDRAULIC HOSE INDUSTRIAL,HALB,KG,18-03-2022,USER010,,M,,96954559,C,9293.42
M4394290,TONER CARTRIDGE LASER — Var 11,3030214,TONER CARTRIDGE LASER,HALB,KG,26-08-2021,USER006,ANG,M,,83047556,A,431695.17
M5675830,IRON ORE FINES OPEN MARKET — Var 2,1010004,IRON ORE FINES OPEN MARKET,ROH,TON,21-06-2022,USER004,JSR,M,,81551121,B,18990.29
M9261313,BEARING MECHANICAL SPARE SKF — Var 5,3030201,BEARING MECHANICAL SPARE SKF,ERSA,EA,28-11-2022,USER009,VSP,M,,97533788,A,151683.0
M6884085,SECURITY CONTRACT PLANT — Var 2,4040308,SECURITY CONTRACT PLANT,DIEN,ACT,07-04-2020,USER012,,M,,76342611,B,444020.59
M5074328,SILICO MANGANESE SiMn70 — Var 8,1010011,SILICO MANGANESE SiMn70,HALB,KG,04-09-2020,USER003,,M,,99854079,B,171786.6
M7098200,REFRACTORY CASTABLE HIGH ALUMINA — Var 7,2020102,REFRACTORY CASTABLE HIGH ALUMINA,HALB,KG,26-03-2020,USER001,VSP,M,,99172534,C,447333.37
M7329227,TUNDISH BOARD — Var 5,2020106,TUNDISH BOARD,HALB,KG,02-08-2020,USER006,DOL,M,,92452832,B,201327.06
M5344883,IRON ORE FINES OPEN MARKET — Var 2,1010004,IRON ORE FINES OPEN MARKET,ROH,TON,07-05-2019,USER005,,M,,72583081,B,336040.51
M9080369,OXYGEN GAS LIQUID — Var 4,1010014,OXYGEN GAS LIQUID,HALB,KG,13-06-2023,USER011,,M,,95084398,C,74404.69
M7960366,PPE SAFETY BOOTS — Var 9,3030212,PPE SAFETY BOOTS,HALB,KG,26-05-2019,USER005,BPS,M,,94652814,C,341249.49
M7120423,PELLET FEED IRON ORE — Var 9,1010008,PELLET FEED IRON ORE,ROH,TON,22-07-2019,USER010,BPS,M,,74319198,B,179032.22
